frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0329999999999017,0.258,-0.007,0.414,-0.234,0.803,9.0,32.4,17.43892028,78.37642821,0.821,0.973
1,0.0663666666669087,0.064,-0.119,0.089,-3.561,-0.549,8.993,32.38,17.43892208,78.37643035,0.717,0.948
2,0.0997333333336882,-0.006,-0.132,0.027,-0.652,-0.301,8.986,32.35,17.43892389,78.37643248,0.648,0.926
3,0.1331000000000131,0.084,-0.135,0.024,-0.322,0.54,8.995,32.38,17.43892572,78.37643462,0.599,0.906
4,0.1664666666667926,0.287,-0.205,0.502,-2.435,1.389,9.005,32.42,17.43892756,78.37643675,0.562,0.888
5,0.1998333333331174,0.499,-0.275,0.587,-2.54,1.799,9.014,32.45,17.43892939,78.37643889,0.535,0.871
6,0.233199999999897,0.378,-0.093,-0.334,5.327,-0.383,9.023,32.48,17.43893126,78.37644099,0.513,0.856
7,0.266566666666904,0.278,-0.147,0.012,-1.861,-0.47,9.033,32.52,17.43893313,78.37644309,0.496,0.842
8,0.2999333333336835,0.323,-0.416,0.521,-8.664,0.572,9.042,32.55,17.438935,78.3764452,0.483,0.829
9,0.3333000000000083,0.281,-0.18,-0.301,6.831,0.034,9.011,32.44,17.43893666,78.37644711,0.472,0.817
10,0.3666666666667879,0.129,-0.209,-0.191,-1.155,-1.177,8.98,32.33,17.43893833,78.37644902,0.464,0.806
11,0.4000333333331127,0.17,-0.296,0.278,-3.0,0.488,8.949,32.22,17.43894,78.37645093,0.457,0.796
12,0.4333999999998923,0.026,-0.172,-0.413,3.487,-1.238,8.939,32.18,17.43894167,78.37645282,0.451,0.787
13,0.4667666666668992,0.093,-0.271,0.397,-3.3,0.644,8.936,32.17,17.43894334,78.3764547,0.447,0.779
14,0.5001333333336788,0.216,-0.167,0.288,2.894,1.384,8.934,32.16,17.43894501,78.37645658,0.443,0.771
15,0.5335000000000036,0.183,-0.265,0.244,-3.247,-0.22,8.928,32.14,17.43894668,78.37645846,0.44,0.764
16,0.5668666666667832,0.117,-0.228,-0.127,0.828,-0.509,8.915,32.09,17.43894834,78.37646034,0.438,0.757
17,0.600233333333108,0.164,-0.266,0.419,-1.47,0.537,8.902,32.05,17.43895001,78.37646222,0.436,0.751
18,0.6335999999998876,0.176,-0.228,0.028,0.863,0.31,8.894,32.02,17.43895169,78.37646411,0.435,0.745
19,0.6669666666668945,0.201,-0.237,-0.007,-0.527,0.492,8.934,32.16,17.43895342,78.37646602,0.433,0.74
20,0.7003333333334467,0.033,0.025,-0.565,7.871,-1.539,8.974,32.31,17.43895514,78.37646793,0.432,0.735
21,0.7336999999999989,-0.056,-0.178,-0.034,-6.306,-0.982,9.014,32.45,17.43895687,78.37646984,0.432,0.731
22,0.7670666666667785,-0.005,-0.154,0.02,0.569,0.544,9.014,32.45,17.43895855,78.37647173,0.431,0.726
23,0.8004333333331033,0.134,-0.281,0.491,-4.137,1.458,9.003,32.41,17.43896022,78.37647361,0.431,0.723
24,0.8338000000001102,0.242,-0.16,0.124,3.435,1.382,8.993,32.37,17.43896189,78.37647549,0.43,0.719
25,0.8671666666668898,0.127,0.053,-0.194,6.431,-1.03,9.006,32.42,17.43896359,78.37647738,0.43,0.716
26,0.900533333333442,-0.055,-0.176,-0.388,-7.036,-1.851,9.04,32.54,17.43896532,78.37647929,0.43,0.713
27,0.9338999999999942,0.093,0.052,-0.218,6.879,1.767,9.074,32.67,17.43896705,78.37648121,0.43,0.71
28,0.9672666666667736,0.179,-0.116,0.549,-5.17,0.918,9.072,32.66,17.43896875,78.37648308,0.43,0.708
29,1.0006333333330986,0.246,-0.072,0.062,1.216,0.971,8.936,32.17,17.43897036,78.37648484,0.43,0.706
30,1.0340000000001055,0.072,0.039,-0.45,3.374,-1.67,8.801,31.68,17.43897197,78.3764866,0.43,0.704
31,1.067366666666885,-0.084,-0.03,-0.275,-2.118,-1.722,8.666,31.2,17.43897357,78.37648836,0.43,0.702
32,1.1007333333334373,-0.024,0.082,-0.1,3.441,0.69,8.732,31.44,17.43897532,78.3764902,0.43,0.7
33,1.1340999999999894,0.091,0.06,0.343,-0.611,1.246,8.816,31.74,17.43897708,78.37649205,0.43,0.699
34,1.167466666666769,0.075,0.097,-0.054,1.18,-0.068,8.9,32.04,17.43897884,78.3764939,0.43,0.697
35,1.2008333333330938,0.11,0.082,0.271,-0.387,0.405,8.952,32.23,17.43898056,78.37649577,0.43,0.696
36,1.2342000000001008,0.116,0.028,0.128,-1.602,0.148,8.984,32.34,17.43898226,78.37649765,0.43,0.695
37,1.2675666666668803,0.078,0.127,-0.183,3.097,-0.252,9.016,32.46,17.43898396,78.37649954,0.43,0.694
38,1.3009333333334323,0.056,0.086,0.106,-1.161,-0.202,9.013,32.45,17.43898566,78.37650138,0.43,0.693
39,1.3342999999999847,0.046,0.067,-0.014,-0.502,-0.043,8.939,32.18,17.43898736,78.37650314,0.43,0.692
40,1.3676666666667645,0.033,0.083,-0.061,0.562,-0.081,8.865,31.91,17.43898905,78.3765049,0.43,0.691
41,1.401033333333089,0.09,0.054,0.191,-0.852,0.664,8.793,31.66,17.43899076,78.37650666,0.43,0.691
42,1.434400000000096,0.157,0.076,0.242,0.736,0.837,8.806,31.7,17.43899263,78.3765087,0.43,0.69
43,1.4677666666666482,0.185,0.007,0.282,-2.075,0.403,8.818,31.75,17.43899449,78.37651073,0.43,0.69
44,1.5011333333334278,0.259,-0.005,0.38,-0.348,0.959,8.831,31.79,17.43899636,78.37651277,0.43,0.689
45,1.53449999999998,0.187,0.21,-0.261,6.639,-0.483,8.851,31.86,17.43899827,78.37651477,0.43,0.689
46,1.5678666666667596,0.08,0.016,-0.035,-5.812,-1.054,8.871,31.93,17.43900017,78.37651677,0.43,0.689
