frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.0102999999999155,-0.806,-0.076,9.239
1,0.0436666666666951,-0.189,0.099,9.226
2,0.0770333333337021,0.171,0.225,9.214
3,0.1104000000000269,0.265,0.255,9.177
4,0.1437666666668065,0.1,0.017,9.08
5,0.1771333333333586,-0.004,0.007,8.982
6,0.2104999999999108,-0.101,0.005,8.904
7,0.2438666666666904,-0.126,0.118,8.877
8,0.2772333333336974,-0.128,0.176,8.85
9,0.3106000000000222,-0.124,0.061,8.833
10,0.3439666666668017,-0.055,0.112,8.84
11,0.3773333333333539,-0.011,0.043,8.848
12,0.4106999999999061,-0.055,0.187,8.879
13,0.4440666666669131,-0.217,0.068,8.97
14,0.4774333333336926,-0.243,0.056,9.06
15,0.5108000000000175,-0.186,0.136,9.129
16,0.544166666666797,-0.03,0.137,9.146
17,0.5775333333331218,-0.012,0.238,9.163
18,0.6108999999999014,-0.051,0.135,9.186
19,0.6442666666669083,-0.047,0.14,9.222
20,0.6776333333336879,-0.129,0.167,9.259
21,0.7110000000000127,-0.268,0.015,9.278
22,0.7443666666667923,-0.466,-0.086,9.258
23,0.7777333333331171,-0.493,-0.014,9.238
24,0.8110999999998967,-0.438,0.052,9.224
25,0.8444666666669036,-0.363,0.057,9.225
26,0.8778333333336832,-0.372,0.045,9.226
27,0.911200000000008,-0.31,0.059,9.265
28,0.9445666666667876,-0.326,-0.039,9.394
29,0.9779333333331124,-0.338,-0.027,9.523
30,1.011299999999892,-0.301,-0.097,9.601
31,1.044666666666899,-0.264,0.027,9.567
32,1.0780333333336785,-0.305,-0.065,9.533
33,1.1114000000000033,-0.304,0.06,9.505
34,1.1447666666667828,-0.276,0.121,9.49
35,1.1781333333331077,-0.146,0.007,9.475
36,1.2114999999998872,-0.114,-0.057,9.483
37,1.2448666666668942,-0.183,-0.029,9.54
38,1.2782333333334464,-0.263,-0.118,9.597
39,1.3115999999999983,-0.149,-0.028,9.636
40,1.344966666666778,-0.094,0.023,9.638
41,1.378333333333103,-0.139,-0.052,9.639
42,1.41170000000011,-0.246,-0.057,9.636
43,1.4450666666668894,-0.262,-0.034,9.622
44,1.4784333333334416,-0.27,-0.085,9.609
45,1.5117999999999938,-0.279,-0.077,9.62
46,1.5451666666667734,-0.43,-0.232,9.683
47,1.5785333333330982,-0.545,-0.241,9.745
48,1.6119000000001051,-0.478,-0.082,9.795
49,1.6452666666668847,-0.402,-0.015,9.82
50,1.678633333333437,-0.393,-0.124,9.845
51,1.711999999999989,-0.428,-0.11,9.857
52,1.7453666666667689,-0.361,-0.063,9.841
53,1.7787333333330937,-0.294,-0.11,9.825
54,1.8121000000001004,-0.276,-0.144,9.834
55,1.84546666666688,-0.31,-0.151,9.894
56,1.878833333333432,-0.33,-0.196,9.953
57,1.9121999999999844,-0.297,-0.084,10.001
58,1.945566666666764,-0.275,-0.025,10.026
59,1.9789333333330887,-0.344,-0.114,10.051
60,2.012300000000096,-0.446,-0.287,10.042
61,2.045666666666648,-0.455,-0.065,9.967
62,2.0790333333334274,-0.387,-0.125,9.893
63,2.11239999999998,-0.322,-0.093,9.842
64,2.145766666666759,-0.354,-0.038,9.836
65,2.1791333333333114,-0.401,-0.164,9.83
66,2.212500000000091,-0.412,-0.111,9.826
67,2.245866666666643,-0.372,-0.146,9.826
68,2.2792333333334227,-0.373,-0.213,9.826
69,2.312599999999975,-0.332,-0.193,9.866
70,2.3459666666667545,-0.341,-0.095,9.981
71,2.3793333333333067,-0.398,-0.197,10.096
72,2.412700000000086,-0.489,-0.255,10.178
73,2.4460666666666384,-0.58,-0.346,10.199
74,2.479433333333418,-0.517,-0.265,10.22
75,2.51279999999997,-0.426,-0.162,10.22
76,2.5461666666667497,-0.296,-0.141,10.182
77,2.579533333333302,-0.136,-0.134,10.143
78,2.612900000000081,0.043,-0.124,10.117
79,2.6462666666666337,0.033,-0.049,10.113
80,2.679633333333413,-0.012,-0.179,10.11
81,2.712999999999965,0.01,-0.147,10.101
82,2.746366666666745,0.138,-0.052,10.082
83,2.779733333333297,0.197,-0.002,10.062
84,2.8131000000000768,0.178,-0.027,10.061
85,2.846466666666629,0.161,-0.074,10.093
86,2.8798333333334085,0.221,-0.024,10.125
87,2.9131999999999607,0.23,-0.094,10.168
88,2.9465666666667403,0.237,-0.027,10.23
89,2.9799333333332925,0.146,-0.031,10.293
90,3.013300000000072,0.068,-0.026,10.339
91,3.046666666666624,0.048,-0.063,10.358
92,3.080033333333404,0.203,0.102,10.377
93,3.113399999999956,0.328,0.041,10.354
94,3.1467666666667355,0.383,-0.013,10.258
95,3.180133333333288,0.357,-0.011,10.163
96,3.2135000000000677,0.38,0.065,10.093
97,3.2468666666666195,0.383,0.097,10.066
98,3.280233333333399,0.389,0.001,10.039
99,3.3135999999999517,0.345,0.044,9.989
100,3.346966666666731,0.433,0.068,9.901
101,3.380333333333283,0.497,0.109,9.813
102,3.4137000000000626,0.519,0.099,9.732
103,3.4470666666666148,0.413,-0.008,9.662
104,3.4804333333333943,0.314,0.024,9.591
105,3.5137999999999465,0.323,0.034,9.526
106,3.547166666666726,0.313,0.083,9.469
107,3.5805333333332783,0.259,0.058,9.412
108,3.613900000000058,0.189,-0.052,9.396
109,3.64726666666661,0.257,0.157,9.445
110,3.6806333333333896,0.352,0.165,9.493
111,3.713999999999942,0.317,0.186,9.552
112,3.747366666666722,0.126,0.07,9.625
113,3.7807333333332735,-0.121,-0.127,9.698
114,3.814100000000053,-0.143,0.153,9.716
115,3.847466666666605,-0.169,0.028,9.649
116,3.880833333333385,-0.153,0.171,9.581
117,3.914199999999937,-0.133,0.189,9.553
118,3.9475666666667166,0.004,0.25,9.587
119,3.980933333333269,0.04,0.083,9.62
