time,seconds_elapsed,z,y,x
1788093356128454700,0.13745458984375,0.956250011920929,-36.31875228881836,-23.475000381469727
1788093356138454800,0.147454833984375,1.4250000715255737,-35.90625,-25.725000381469727
1788093356148454700,0.15745458984375,1.4250000715255737,-35.90625,-25.725000381469727
1788093356158454800,0.167454833984375,2.3812501430511475,-35.587501525878906,-23.45625114440918
1788093356168454700,0.17745458984375,-0.581250011920929,-36.46875,-23.606250762939453
1788093356178454800,0.187454833984375,-0.768750011920929,-37.35000228881836,-25.162500381469727
1788093356188454700,0.19745458984375,-0.11250000447034836,-36.03750228881836,-25.106250762939453
1788093356198454800,0.207454833984375,0.8062500357627869,-35.88750076293945,-24.95625114440918
1788093356208454700,0.21745458984375,-0.30000001192092896,-37.48125076293945,-23.662500381469727
1788093356218454800,0.227454833984375,0.20625001192092896,-35.60625076293945,-25.556251525878906
1788093356228454700,0.23745458984375,0.75,-38.51250076293945,-25.068750381469727
1788093356238454800,0.247454833984375,2.0250000953674316,-37.35000228881836,-24.881250381469727
1788093356248454700,0.25745458984375,0,-37.21875,-26.83125114440918
1788093356258454800,0.267454833984375,0.7875000238418579,-37.20000076293945,-24.712501525878906
1788093356268454700,0.27745458984375,2.0250000953674316,-37.33125305175781,-23.231250762939453
1788093356278454800,0.287454833984375,1.5750000476837158,-36.60000228881836,-24.093751907348633
1788093356288454700,0.29745458984375,0.768750011920929,-37.76250076293945,-22.631250381469727
1788093356298454800,0.307454833984375,0.8062500357627869,-36.45000076293945,-23.025001525878906
1788093356308454700,0.31745458984375,2.4937500953674316,-36.900001525878906,-24.412500381469727
1788093356318454800,0.327454833984375,0.1875,-36.618751525878906,-24.543750762939453
1788093356328454700,0.33745458984375,-0.01875000074505806,-38.79375076293945,-23.71875
1788093356338454800,0.347454833984375,0.75,-38.493751525878906,-22.650001525878906
1788093356348454700,0.35745458984375,2.1750001907348633,-37.181251525878906,-23.981250762939453
1788093356358454800,0.367454833984375,3.731250047683716,-37.03125,-24.131250381469727
1788093356368454700,0.37745458984375,0.956250011920929,-37.03125,-23.193750381469727
1788093356378454800,0.387454833984375,1.1062500476837158,-37.181251525878906,-23.36250114440918
1788093356388454700,0.39745458984375,0.75,-38.212501525878906,-24.750001907348633
1788093356398454800,0.407454833984375,-0.09375,-35.587501525878906,-23.137500762939453
1788093356408454700,0.41745458984375,1.818750023841858,-38.8125,-26.45625114440918
1788093356418454800,0.427454833984375,1.0875000953674316,-37.5,-25.33125114440918
1788093356428454700,0.43745458984375,0.8062500357627869,-36.46875,-24.375001907348633
1788093356438454800,0.447454833984375,1.1062500476837158,-36.46875,-24.693750381469727
1788093356448454700,0.45745458984375,3.4312500953674316,-36.63750076293945,-26.981250762939453
1788093356458454800,0.467454833984375,2.4937500953674316,-37.181251525878906,-23.981250762939453
1788093356468454700,0.47745458984375,2.4562501907348633,-38.212501525878906,-25.068750381469727
1788093356478454800,0.487454833984375,0.20625001192092896,-35.60625076293945,-26.156251907348633
1788093356488454700,0.49745458984375,0.8250000476837158,-35.17500305175781,-26.287500381469727
1788093356498454800,0.507454833984375,0.03750000149011612,-36.46875,-23.625
1788093356508454700,0.51745458984375,1.2750000953674316,-36.03750228881836,-25.575000762939453
1788093356518454800,0.527454833984375,1.8375000953674316,-38.212501525878906,-25.818750381469727
1788093356528454700,0.53745458984375,1.256250023841858,-37.05000305175781,-24.562501907348633
1788093356538454800,0.547454833984375,0.7875000238418579,-36.900001525878906,-24.39375114440918
1788093356548454700,0.55745458984375,0.6187500357627869,-37.35000228881836,-24.86250114440918
1788093356558454800,0.567454833984375,1.2750000953674316,-36.01875305175781,-23.45625114440918
1788093356568454700,0.57745458984375,0.3187500238418579,-37.20000076293945,-25.762500762939453
1788093356578454800,0.587454833984375,-0.15000000596046448,-37.05000305175781,-24.093751907348633
1788093356588454700,0.59745458984375,3.8812501430511475,-37.181251525878906,-24.450000762939453
1788093356598454800,0.607454833984375,2.3062500953674316,-38.08125305175781,-25.968751907348633
1788093356608454700,0.61745458984375,2.043750047683716,-36.31875228881836,-24.543750762939453
1788093356618454800,0.627454833984375,1.8750001192092896,-36.48750305175781,-26.36250114440918
1788093356628454700,0.63745458984375,3.3000001907348633,-36.16875076293945,-24.39375114440918
1788093356638454800,0.647454833984375,1.1062500476837158,-36.900001525878906,-23.64375114440918
1788093356648454700,0.65745458984375,2.512500047683716,-35.90625,-26.043750762939453
1788093356658454800,0.667454833984375,1.3312500715255737,-34.29375076293945,-24.450000762939453
1788093356668454700,0.67745458984375,0.6187500357627869,-37.63125228881836,-25.631250381469727
1788093356678454800,0.687454833984375,1.8562500476837158,-37.20000076293945,-25.781251907348633
1788093356688454700,0.69745458984375,1.125,-36.45000076293945,-23.325000762939453
1788093356698454800,0.707454833984375,2.8312501907348633,-36.1875,-24.993751525878906
1788093356708454700,0.71745458984375,1.256250023841858,-36.618751525878906,-25.14375114440918
1788093356718454800,0.727454833984375,1.5937501192092896,-36.01875305175781,-23.17500114440918
1788093356728454700,0.73745458984375,1.5750000476837158,-36.31875228881836,-24.075000762939453
1788093356738454800,0.747454833984375,2.0250000953674316,-37.35000228881836,-25.181251525878906
1788093356748454700,0.75745458984375,2.8125,-36.900001525878906,-25.031251907348633
1788093356758454800,0.767454833984375,-0.15000000596046448,-37.63125228881836,-24.881250381469727
1788093356768454700,0.77745458984375,-0.26250001788139343,-35.88750076293945,-25.256250381469727
1788093356778454800,0.787454833984375,0.65625,-35.60625076293945,-25.856250762939453
1788093356788454700,0.79745458984375,1.3125,-35.00625228881836,-24.48750114440918
1788093356798454800,0.807454833984375,1.8937500715255737,-36.1875,-25.743751525878906
1788093356808454700,0.81745458984375,2.1937501430511475,-36.48750305175781,-26.36250114440918
1788093356818454800,0.827454833984375,1.8750001192092896,-36.900001525878906,-25.312501907348633
1788093356828454700,0.83745458984375,1.256250023841858,-36.63750076293945,-27.562501907348633
1788093356838454800,0.847454833984375,1.0125000476837158,-34.72500228881836,-24.01875114440918
1788093356848454700,0.85745458984375,2.325000047683716,-37.63125228881836,-25.200000762939453
1788093356858454800,0.867454833984375,1.8562500476837158,-37.48125076293945,-24.731250762939453
1788093356868454700,0.87745458984375,-0.28125,-36.1875,-24.975000381469727
1788093356878454800,0.887454833984375,1.2937500476837158,-35.60625076293945,-25.556251525878906
1788093356888454700,0.89745458984375,0.3187500238418579,-37.20000076293945,-25.012500762939453
1788093356898454800,0.907454833984375,2.512500047683716,-36.46875,-23.943750381469727
1788093356908454700,0.91745458984375,-0.3187500238418579,-37.48125076293945,-24.712501525878906
1788093356918454800,0.927454833984375,1.4625000953674316,-34.875,-24.637500762939453
1788093356928454700,0.93745458984375,0.9187500476837158,-38.0625,-24.600000381469727
1788093356938454800,0.947454833984375,1.2375000715255737,-37.06875228881836,-26.531251907348633
1788093356948454700,0.95745458984375,1.5562500953674316,-37.06875228881836,-26.531251907348633
1788093356958454800,0.967454833984375,1.8562500476837158,-37.20000076293945,-25.781251907348633
1788093356968454700,0.97745458984375,1.21875,-38.08125305175781,-26.26875114440918
1788093356978454800,0.987454833984375,-0.75,-36.63750076293945,-26.193750381469727
1788093356988454700,0.99745458984375,1.162500023841858,-34.44375228881836,-24.600000381469727
1788093356998454800,1.007454833984375,1.0875000953674316,-36.91875076293945,-26.062501907348633
1788093357008454700,1.01745458984375,1.2750000953674316,-35.60625076293945,-26.475000381469727
1788093357018454800,1.027454833984375,1.125,-35.47500228881836,-27.375001907348633
1788093357028454700,1.03745458984375,1.2937500476837158,-35.60625076293945,-25.556251525878906
1788093357038454800,1.047454833984375,0.65625,-35.60625076293945,-25.556251525878906
1788093357048454700,1.05745458984375,-0.15000000596046448,-37.06875228881836,-26.512500762939453
1788093357058454800,1.067454833984375,0.956250011920929,-36.618751525878906,-25.89375114440918
1788093357068454700,1.07745458984375,1.0875000953674316,-37.5,-25.781251907348633
1788093357078454800,1.087454833984375,0.675000011920929,-35.025001525878906,-26.137500762939453
1788093357088454700,1.09745458984375,0.35625001788139343,-35.88750076293945,-25.256250381469727
1788093357098454800,1.107454833984375,2.15625,-38.23125076293945,-26.137500762939453
1788093357108454700,1.11745458984375,0.9375000596046448,-37.06875228881836,-26.231250762939453
1788093357118454800,1.127454833984375,0.8062500357627869,-36.1875,-26.043750762939453
1788093357128454700,1.13745458984375,-0.7875000238418579,-37.63125228881836,-25.162500381469727
1788093357138454800,1.147454833984375,1.8937500715255737,-35.88750076293945,-24.67500114440918
1788093357148454700,1.15745458984375,2.0250000953674316,-36.618751525878906,-25.61250114440918
1788093357158454800,1.167454833984375,2.8125,-36.48750305175781,-26.36250114440918
1788093357168454700,1.17745458984375,2.34375,-36.337501525878906,-26.962501525878906
1788093357178454800,1.187454833984375,2.325000047683716,-37.33125305175781,-24.58125114440918
1788093357188454700,1.19745458984375,2.512500047683716,-36.1875,-25.743751525878906
1788093357198454800,1.207454833984375,0.675000011920929,-34.743751525878906,-26.887500762939453
1788093357208454700,1.21745458984375,2.0250000953674316,-37.05000305175781,-25.181251525878906
1788093357218454800,1.227454833984375,1.5750000476837158,-36.60000228881836,-23.793750762939453
1788093357228454700,1.23745458984375,1.256250023841858,-37.05000305175781,-24.86250114440918
1788093357238454800,1.247454833984375,1.2937500476837158,-34.743751525878906,-26.437501907348633
1788093357248454700,1.25745458984375,1.2937500476837158,-34.743751525878906,-26.437501907348633
1788093357258454800,1.267454833984375,0.22500000894069672,-34.743751525878906,-26.118751525878906
1788093357268454700,1.27745458984375,2.1937501430511475,-36.46875,-24.693750381469727
1788093357278454800,1.287454833984375,2.6812500953674316,-36.03750228881836,-24.843751907348633
1788093357288454700,1.29745458984375,0.03750000149011612,-36.1875,-24.67500114440918
1788093357298454800,1.307454833984375,2.1750001907348633,-37.5,-25.80000114440918
1788093357308454700,1.31745458984375,1.443750023841858,-35.88750076293945,-24.375001907348633
1788093357318454800,1.327454833984375,1.5937501192092896,-35.60625076293945,-26.17500114440918
1788093357328454700,1.33745458984375,-0.4312500059604645,-36.337501525878906,-25.575000762939453
1788093357338454800,1.347454833984375,1.2937500476837158,-35.306251525878906,-25.106250762939453
1788093357348454700,1.35745458984375,2.2125000953674316,-36.16875076293945,-23.325000762939453
1788093357358454800,1.367454833984375,1.2937500476837158,-35.587501525878906,-24.056251525878906
1788093357368454700,1.37745458984375,1.8750001192092896,-37.20000076293945,-24.731250762939453
1788093357378454800,1.387454833984375,1.0875000953674316,-37.48125076293945,-25.031251907348633
1788093357388454700,1.39745458984375,-0.6000000238418579,-36.900001525878906,-23.625
