=> creating output\cityscapes\pidnet_small_cityscapes
=> creating log\cityscapes\pidnet_small\pidnet_small_cityscapes_2026-08-31-01-00
[*] Loading ImageNet-pretrained backbone from 'models/PIDNet/pretrained_models/imagenet/PIDNet_S_ImageNet.pth.tar'
C:\Users\anura\Desktop\research_2wadas\aurora-2w\models\PIDNet\models\aurora2w.py:270: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_state = torch.load(cfg.MODEL.PRETRAINED, map_location='cpu')['state_dict']
Attention!!!
Loaded 302 parameters!
Over!!!
[*] Starting AuRoRA-2W Synthetic Roll Training Loop with AMP...
[*] Set to train for 20 epochs.

--- Epoch 1/20 ---
[Iter 0/1487] LR: 0.010000 | Loss: 10.5004
[Iter 10/1487] LR: 0.010000 | Loss: 11.7078
[Iter 20/1487] LR: 0.010000 | Loss: 9.4997
[Iter 30/1487] LR: 0.010000 | Loss: 5.1208
[Iter 40/1487] LR: 0.009999 | Loss: 5.5964
[Iter 50/1487] LR: 0.009999 | Loss: 4.2101
[Iter 60/1487] LR: 0.009999 | Loss: 6.0826
[Iter 70/1487] LR: 0.009999 | Loss: 3.6059
[Iter 80/1487] LR: 0.009999 | Loss: 2.9347
[Iter 90/1487] LR: 0.009999 | Loss: 7.6195
[Iter 100/1487] LR: 0.009999 | Loss: 3.1575
[Iter 110/1487] LR: 0.009999 | Loss: 4.8491
[Iter 120/1487] LR: 0.009998 | Loss: 3.9833
[Iter 130/1487] LR: 0.009998 | Loss: 2.3390
[Iter 140/1487] LR: 0.009998 | Loss: 3.9258
[Iter 150/1487] LR: 0.009998 | Loss: 4.1971
[Iter 160/1487] LR: 0.009998 | Loss: 4.7294
[Iter 170/1487] LR: 0.009998 | Loss: 5.3299
[Iter 180/1487] LR: 0.009998 | Loss: 3.7221
[Iter 190/1487] LR: 0.009998 | Loss: 6.1943
[Iter 200/1487] LR: 0.009997 | Loss: 4.5344
[Iter 210/1487] LR: 0.009997 | Loss: 6.1528
[Iter 220/1487] LR: 0.009997 | Loss: 5.1712
[Iter 230/1487] LR: 0.009997 | Loss: 3.7979
[Iter 240/1487] LR: 0.009997 | Loss: 3.0405
[Iter 250/1487] LR: 0.009997 | Loss: 4.3779
[Iter 260/1487] LR: 0.009997 | Loss: 3.1032
[Iter 270/1487] LR: 0.009997 | Loss: 2.2571
[Iter 280/1487] LR: 0.009996 | Loss: 3.0575
[Iter 290/1487] LR: 0.009996 | Loss: 3.0353
[Iter 300/1487] LR: 0.009996 | Loss: 3.3602
[Iter 310/1487] LR: 0.009996 | Loss: 3.8546
[Iter 320/1487] LR: 0.009996 | Loss: 2.5022
[Iter 330/1487] LR: 0.009996 | Loss: 4.8439
[Iter 340/1487] LR: 0.009996 | Loss: 2.6109
[Iter 350/1487] LR: 0.009996 | Loss: 2.9626
[Iter 360/1487] LR: 0.009995 | Loss: 3.4586
[Iter 370/1487] LR: 0.009995 | Loss: 2.3791
[Iter 380/1487] LR: 0.009995 | Loss: 4.6125
[Iter 390/1487] LR: 0.009995 | Loss: 3.9988
[Iter 400/1487] LR: 0.009995 | Loss: 4.0375
[Iter 410/1487] LR: 0.009995 | Loss: 3.8914
[Iter 420/1487] LR: 0.009995 | Loss: 3.4635
[Iter 430/1487] LR: 0.009995 | Loss: 6.5888
[Iter 440/1487] LR: 0.009994 | Loss: 3.7711
[Iter 450/1487] LR: 0.009994 | Loss: 3.7338
[Iter 460/1487] LR: 0.009994 | Loss: 5.0307
[Iter 470/1487] LR: 0.009994 | Loss: 3.6256
[Iter 480/1487] LR: 0.009994 | Loss: 3.1677
[Iter 490/1487] LR: 0.009994 | Loss: 1.5894
[Iter 500/1487] LR: 0.009994 | Loss: 5.3689
[Iter 510/1487] LR: 0.009994 | Loss: 2.8766
[Iter 520/1487] LR: 0.009993 | Loss: 2.2712
[Iter 530/1487] LR: 0.009993 | Loss: 1.6981
[Iter 540/1487] LR: 0.009993 | Loss: 2.8784
[Iter 550/1487] LR: 0.009993 | Loss: 1.4224
[Iter 560/1487] LR: 0.009993 | Loss: 2.1038
[Iter 570/1487] LR: 0.009993 | Loss: 2.1063
[Iter 580/1487] LR: 0.009993 | Loss: 2.5702
